2014-03-20 07:37:36 status installed liblcms1 1.19.dfsg-1ubuntu3
2014-03-20 07:37:36 configure libthai-data 0.1.16-3 <none>
2014-03-20 07:37:36 status unpacked libthai-data 0.1.16-3
2014-03-20 07:37:36 status half-configured libthai-data 0.1.16-3
2014-03-20 07:37:37 status installed libthai-data 0.1.16-3
2014-03-20 07:37:37 configure libthai0 0.1.16-3 <none>
2014-03-20 07:37:37 status unpacked libthai0 0.1.16-3
2014-03-20 07:37:37 status half-configured libthai0 0.1.16-3
2014-03-20 07:37:37 status installed libthai0 0.1.16-3
2014-03-20 07:37:37 configure libxft2 2.2.0-3ubuntu2 <none>
2014-03-20 07:37:37 status unpacked libxft2 2.2.0-3ubuntu2
2014-03-20 07:37:38 status half-configured libxft2 2.2.0-3ubuntu2
2014-03-20 07:37:38 status installed libxft2 2.2.0-3ubuntu2
2014-03-20 07:37:39 configure fontconfig 2.8.0-3ubuntu9.1 <none>
2014-03-20 07:37:39 status unpacked fontconfig 2.8.0-3ubuntu9.1
2014-03-20 07:37:39 status half-configured fontconfig 2.8.0-3ubuntu9.1
2014-03-20 07:37:49 status installed fontconfig 2.8.0-3ubuntu9.1
2014-03-20 07:37:50 configure libpango1.0-0 1.30.0-0ubuntu3.1 <none>
2014-03-20 07:37:50 status unpacked libpango1.0-0 1.30.0-0ubuntu3.1
2014-03-20 07:37:50 status half-configured libpango1.0-0 1.30.0-0ubuntu3.1
2014-03-20 07:37:50 status installed libpango1.0-0 1.30.0-0ubuntu3.1
2014-03-20 07:37:51 configure librsvg2-2 2.36.1-0ubuntu1.1 <none>
2014-03-20 07:37:51 status unpacked librsvg2-2 2.36.1-0ubuntu1.1
2014-03-20 07:37:51 status half-configured librsvg2-2 2.36.1-0ubuntu1.1
2014-03-20 07:37:51 status installed librsvg2-2 2.36.1-0ubuntu1.1
2014-03-20 07:37:51 configure libwmf0.2-7 0.2.8.4-10ubuntu1 <none>
2014-03-20 07:37:51 status unpacked libwmf0.2-7 0.2.8.4-10ubuntu1
2014-03-20 07:37:51 status half-configured libwmf0.2-7 0.2.8.4-10ubuntu1
2014-03-20 07:37:52 status installed libwmf0.2-7 0.2.8.4-10ubuntu1
2014-03-20 07:37:52 configure liblqr-1-0 0.4.1-1.1 <none>
2014-03-20 07:37:52 status unpacked liblqr-1-0 0.4.1-1.1
2014-03-20 07:37:52 status half-configured liblqr-1-0 0.4.1-1.1
2014-03-20 07:37:53 status installed liblqr-1-0 0.4.1-1.1
2014-03-20 07:37:53 configure imagemagick-common 8:6.6.9.7-5ubuntu3.3 <none>
2014-03-20 07:37:53 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:53 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:53 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:53 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:54 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
