级别	日期和时间	来源	事件 ID	任务类别
信息	2014/2/12 9:00:35	Microsoft-Windows-Servicing	2	无	已将程序包 KB2898857 成功更改为 已安装 状态。
信息	2014/2/12 8:52:02	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2916036)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2916036-x86.msu"" /quiet /norestart”)"
警告	2014/2/12 8:52:02	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2916036) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2916036-x86.msu"" /quiet /norestart”)"
信息	2014/2/12 8:52:02	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2916036 更改为 已安装 状态。
信息	2014/2/12 8:51:45	Microsoft-Windows-Servicing	1	无	启动程序包 KB2916036 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/2/12 8:47:02	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2911501)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2911501-x86.msu"" /quiet /norestart”)"
警告	2014/2/12 8:47:02	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2911501) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2911501-x86.msu"" /quiet /norestart”)"
信息	2014/2/12 8:47:01	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2911501 更改为 已安装 状态。
信息	2014/2/12 8:46:37	Microsoft-Windows-Servicing	1	无	启动程序包 KB2911501 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/2/12 8:42:42	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2909921)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\IE11-Windows6.1-KB2909921-x86.msu"" /quiet /norestart”)"
警告	2014/2/12 8:42:42	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2909921) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\IE11-Windows6.1-KB2909921-x86.msu"" /quiet /norestart”)"
信息	2014/2/12 8:42:41	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2909921 更改为 已安装 状态。
信息	2014/2/12 8:42:08	Microsoft-Windows-Servicing	1	无	启动程序包 KB2909921 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/2/12 8:41:12	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2909210)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\IE11-Windows6.1-KB2909210-x86.msu"" /quiet /norestart”)"
警告	2014/2/12 8:41:12	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2909210) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\IE11-Windows6.1-KB2909210-x86.msu"" /quiet /norestart”)"
信息	2014/2/12 8:41:11	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2909210 更改为 已安装 状态。
信息	2014/2/12 8:41:06	Microsoft-Windows-Servicing	1	无	启动程序包 KB2909210 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/2/12 8:40:18	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2901112)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2901112-x86.msu"" /quiet /norestart”)"
警告	2014/2/12 8:40:18	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2901112) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2901112-x86.msu"" /quiet /norestart”)"
信息	2014/2/12 8:40:16	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2901112 更改为 已安装 状态。
信息	2014/2/12 8:40:02	Microsoft-Windows-Servicing	1	无	启动程序包 KB2901112 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/2/12 8:38:30	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2898857)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2898857-x86.msu"" /quiet /norestart”)"
警告	2014/2/12 8:38:30	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2898857) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2898857-x86.msu"" /quiet /norestart”)"
信息	2014/1/16 8:05:30	Microsoft-Windows-Servicing	2	无	已将程序包 KB2913602 成功更改为 已安装 状态。
信息	2014/1/16 8:05:30	Microsoft-Windows-Servicing	2	无	已将程序包 KB2913431 成功更改为 已安装 状态。
